Code_Dpt,Departement,Region,annee,densite,pop_globale,tranche_age_0-24,tranche_age_25-59,tranche_age_60+,csp1_agriculteurs,csp2_artisans_commercant_chef_entreprises,csp3_cadres_professions_intellectuelles,csp4_professions_intermediaires,csp5_employes,csp6_ouvriers,csp7_retraites,csp8_sans_activite,nb_salaries_secteur_agricole,nb_salaries_secteur_industrie,nb_salaries_secteur_service,nbre_entreprises_agricole,nbre_entreprises_industrie,nbre_entreprises_service,Deblais_gravats,Dechets_verts,Encombrants,Materiaux_recyclables
29,Finistère,Bretagne,2021,136.9,922016,250612,386486,284918,7612,26986,58562,107775,114734,94315,250498,261534,16094,70964,279330,4809.0,7401.0,22284.0,80635,166404,59194,49086
30,Gard,Occitanie,2021,129.3,756194,207901,315505,232788,5108,30102,41152,83283,97959,66279,188642,243669,9000,45722,199191,3642.0,7768.0,23744.0,98636,64173,44667,43335
31,Haute-Garonne,Occitanie,2021,227.3,1435415,452185,664699,318531,4057,43589,188790,197894,177458,104713,255327,463587,5645,111268,563817,3973.0,9989.0,34992.0,62746,70100,52361,37017
32,Gers,Occitanie,2021,30.8,192398,44747,78064,69587,5162,7639,10076,20227,23029,18701,58239,49325,7588,11970,51146,3349.0,2691.0,8326.0,12566,12418,10996,7789
33,Gironde,Nouvelle-Aquitaine,2021,165.9,1665818,492129,748990,424699,6860,60220,158078,216818,217475,147625,355362,503380,26627,115977,590134,6397.0,14156.0,46279.0,97512,146137,106847,77063
34,Hérault,Occitanie,2021,197.0,1206913,353026,512495,341392,6164,46796,96462,143338,152730,88036,277741,395646,10867,62581,389118,4252.0,10445.0,37262.0,88316,84824,72570,57158
35,Ille-et-Vilaine,Bretagne,2021,162.1,1104826,353016,489076,262734,8798,30461,101249,141385,135432,112696,229531,345274,13913,92615,390087,4500.0,7954.0,27438.0,78222,102699,57402,40928
36,Indre,Centre-Val de Loire,2021,32.0,216986,51256,86749,78981,3408,5958,8485,20670,28109,25442,69759,55155,4628,19145,58135,2153.0,2114.0,6032.0,11033,19233,9839,9004
37,Indre-et-Loire,Centre-Val de Loire,2021,99.9,612349,178649,259396,174304,3542,16929,45507,78269,79073,59012,151153,178864,6729,47332,196682,2791.0,4688.0,15300.0,37782,41887,40395,12497
38,Isère,Auvergne-Rhône-Alpes,2021,172.9,1289177,402418,567961,318798,4460,40424,121495,167873,154879,123323,265502,411221,6286,115736,390891,4626.0,12758.0,37552.0,94739,86023,82777,62213
39,Jura,Bourgogne-Franche-Comté,2021,51.7,258375,68495,108498,81382,2693,8078,12099,29806,30310,33857,70588,70944,4083,26084,65345,2522.0,3203.0,9032.0,15748,10804,9326,15719
40,Landes,Nouvelle-Aquitaine,2021,45.8,423450,103776,179371,140303,3563,16607,19921,46972,57732,45303,122399,110953,6744,32400,116260,3522.0,4472.0,14505.0,90848,110983,40698,46347
41,Loir-et-Cher,Centre-Val de Loire,2021,51.8,328503,86039,135827,106637,2533,10151,17050,34514,40922,39496,94020,89817,5225,29919,89026,2279.0,3076.0,9123.0,21729,38151,29174,10658
42,Loire,Auvergne-Rhône-Alpes,2021,160.9,769049,229640,318393,221016,4386,23318,42044,87736,93757,85554,190723,241531,5942,71471,211952,3271.0,7255.0,19114.0,46566,50559,44814,32424
43,Haute-Loire,Auvergne-Rhône-Alpes,2021,45.7,226810,59034,94078,73698,4513,8418,9461,25160,28089,26337,64501,60331,5248,22195,54815,2553.0,3043.0,7607.0,17489,14622,10735,15401
44,Loire-Atlantique,Pays de la Loire,2021,212.1,1463135,451915,653975,357245,7281,42086,145095,193941,176574,141890,309003,447265,13202,128939,514934,3601.0,10663.0,32998.0,164570,155461,95329,66265
45,Loiret,Centre-Val de Loire,2021,101.0,686808,208348,296200,182260,3072,17938,48001,82874,85874,79294,157842,211913,5246,60764,208228,2323.0,5409.0,16881.0,67640,77223,52746,23427
46,Lot,Occitanie,2021,33.5,174925,37668,68735,68522,3813,7638,8547,17539,20729,16546,58648,41465,4945,14885,47242,2987.0,2673.0,7459.0,16634,14309,12797,9595
47,Lot-et-Garonne,Nouvelle-Aquitaine,2021,61.8,331802,84415,133626,113761,4951,12171,13910,33285,41038,37048,96987,92412,9458,23877,93240,3935.0,3879.0,11504.0,20776,30775,18887,19093
48,Lozère,Occitanie,2021,14.8,76725,19011,31770,25944,3044,2850,3174,8481,9926,6953,21464,20833,3537,5051,23486,1467.0,1103.0,3276.0,2033,2910,5355,6304
49,Maine-et-Loire,Pays de la Loire,2021,116.0,860898,271094,362209,227595,8363,23861,53278,100321,105895,110682,200868,257630,19227,81825,253454,4740.0,6771.0,19722.0,79893,73635,44242,25486
50,Manche,Normandie,2021,83.3,500236,128418,206352,165466,7493,14107,22938,54680,62317,59978,147244,131479,11772,50988,139520,4753.0,4542.0,14544.0,47980,80839,47993,25886
51,Marne,Grand Est,2021,69.2,564785,172184,244098,148503,8589,14714,36854,63806,73855,64445,125052,177470,16100,46182,179857,4307.0,4456.0,13424.0,27588,26062,26777,18125
52,Haute-Marne,Grand Est,2021,27.5,171143,43913,71054,56176,2081,4309,6350,16230,23080,22929,48422,47742,3124,16755,48942,1699.0,1568.0,4755.0,11150,10213,11674,6412
53,Mayenne,Pays de la Loire,2021,59.1,306290,89716,127450,89124,6876,7826,13800,32813,35069,43471,79894,86541,9043,35199,83591,2919.0,2832.0,8021.0,32422,45811,20122,14407
54,Meurthe-et-Moselle,Grand Est,2021,139.6,732789,223629,317254,191906,2507,17233,49747,89247,100649,74481,158745,240180,4078,43132,212955,2694.0,4914.0,16704.0,36174,18633,49049,27670
55,Meuse,Grand Est,2021,29.3,182068,48590,76776,56702,2733,4627,6690,17707,24441,24426,48425,53019,4012,13949,44597,2042.0,1649.0,5017.0,7025,7984,13506,7686
