densite,pop_globale,tranche_age_0-24,tranche_age_25-59,tranche_age_60+,csp1_agriculteurs,csp2_artisans_commercant_chef_entreprises,csp3_cadres_professions_intellectuelles,csp4_professions_intermediaires,csp5_employes,csp6_ouvriers,csp7_retraites,csp8_sans_activite,nb_salaries_secteur_agricole,nb_salaries_secteur_industrie,nb_salaries_secteur_service,nbre_entreprises_agricole,nbre_entreprises_industrie,nbre_entreprises_service,Deblais_gravats,Dechets_verts,Encombrants,Materiaux_recyclables,Departement_Ain,Departement_Aisne,Departement_Allier,Departement_Alpes-Maritimes,Departement_Alpes-de-Haute-Provence,Departement_Ardennes,Departement_Ardèche,Departement_Ariège,Departement_Aube,Departement_Aude,Departement_Aveyron,Departement_Bas-Rhin,Departement_Bouches-du-Rhône,Departement_Calvados,Departement_Cantal,Departement_Charente,Departement_Charente-Maritime,Departement_Cher,Departement_Corrèze,Departement_Corse-du-Sud,Departement_Cote-d'Or,Departement_Cotes-d'Armor,Departement_Creuse,Departement_Deux-Sèvres,Departement_Dordogne,Departement_Doubs,Departement_Drôme,Departement_Essonne,Departement_Eure,Departement_Eure-et-Loir,Departement_Finistère,Departement_Gard,Departement_Gers,Departement_Gironde,Departement_Haut-Rhin,Departement_Haute-Corse,Departement_Haute-Garonne,Departement_Haute-Loire,Departement_Haute-Marne,Departement_Haute-Savoie,Departement_Haute-Saône,Departement_Haute-Vienne,Departement_Hautes-Alpes,Departement_Hautes-Pyrénées,Departement_Hauts-de-Seine,Departement_Hérault,Departement_Ille-et-Vilaine,Departement_Indre,Departement_Indre-et-Loire,Departement_Isère,Departement_Jura,Departement_Landes,Departement_Loir-et-Cher,Departement_Loire,Departement_Loire-Atlantique,Departement_Loiret,Departement_Lot,Departement_Lot-et-Garonne,Departement_Lozère,Departement_Maine-et-Loire,Departement_Manche,Departement_Marne,Departement_Mayenne,Departement_Meurthe-et-Moselle,Departement_Meuse,Departement_Morbihan,Departement_Moselle,Departement_Nièvre,Departement_Nord,Departement_Oise,Departement_Orne,Departement_Paris,Departement_Pas-de-Calais,Departement_Puy-de-Dôme,Departement_Pyrénées-Atlantiques,Departement_Pyrénées-Orientales,Departement_Rhône,Departement_Sarthe,Departement_Savoie,Departement_Saône-et-Loire,Departement_Seine-Maritime,Departement_Seine-Saint-Denis,Departement_Seine-et-Marne,Departement_Somme,Departement_Tarn,Departement_Tarn-et-Garonne,Departement_Territoire-de-Belfort,Departement_Val-D'Oise,Departement_Val-de-Marne,Departement_Var,Departement_Vaucluse,Departement_Vendée,Departement_Vienne,Departement_Vosges,Departement_Yonne,Departement_Yvelines,Region_Auvergne-Rhône-Alpes,Region_Bourgogne-Franche-Comté,Region_Bretagne,Region_Centre-Val de Loire,Region_Corse,Region_Grand Est,Region_Hauts-de-France,Region_Normandie,Region_Nouvelle-Aquitaine,Region_Occitanie,Region_Pays de la Loire,Region_Provence-Alpes-Côte d'Azur,Region_Île-de-France
61.3,376540.0,95354.0,154264.0,126922.0,4735.0,14660.0,15882.0,38036.0,51374.0,33769.0,105391.0,112693.0,8048.0,18676.0,104274.0,3493.0,3815.0,12565.0,28934.0,26983.0,23497.0,20117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32.0,279432.0,67328.0,113130.0,98974.0,8976.0,11163.0,12348.0,29162.0,33872.0,27308.0,84517.0,72086.0,10494.0,23709.0,78005.0,3505.0,3674.0,10152.0,21401.0,17108.0,16866.0,17119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
404.3,2063579.0,606040.0,905770.0,551769.0,3716.0,65081.0,178365.0,248943.0,262555.0,156642.0,429587.0,718690.0,8325.0,131054.0,714048.0,2809.0,13643.0,52350.0,159755.0,97633.0,79439.0,67856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.6,702742.0,205772.0,293091.0,203879.0,4899.0,21857.0,44943.0,80503.0,92534.0,74332.0,177016.0,206658.0,8632.0,55069.0,223209.0,4746.0,6199.0,21469.0,63521.0,84811.0,52550.0,27012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25.2,144155.0,32313.0,59237.0,52605.0,5936.0,5239.0,5515.0,13650.0,18805.0,14830.0,45477.0,34703.0,6729.0,11010.0,40697.0,1892.0,1740.0,4966.0,7293.0,10033.0,8095.0,7895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.9,350545.0,87404.0,145206.0,117935.0,4574.0,11412.0,17416.0,36202.0,44421.0,42412.0,100643.0,93465.0,8466.0,33276.0,101044.0,3492.0,3952.0,11204.0,32691.0,33780.0,20189.0,15132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96.4,662130.0,160621.0,263575.0,237934.0,6640.0,26599.0,34088.0,68485.0,86230.0,62343.0,207436.0,170309.0,12450.0,42958.0,187560.0,4719.0,7549.0,22299.0,60632.0,72171.0,50464.0,37622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41.4,300061.0,76492.0,122636.0,100933.0,3255.0,8317.0,14526.0,31348.0,39580.0,33606.0,86592.0,82837.0,5552.0,24562.0,82419.0,2219.0,2715.0,7705.0,15792.0,29280.0,20592.0,13383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.9,239491.0,57324.0,96674.0,85493.0,3837.0,8049.0,10916.0,25162.0,31512.0,25061.0,73618.0,61336.0,5045.0,19539.0,71031.0,2807.0,2648.0,7566.0,12722.0,24382.0,13746.0,11805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40.6,162898.0,39417.0,72896.0,50585.0,961.0,7938.0,8026.0,18149.0,25977.0,13857.0,38034.0,49956.0,1373.0,11017.0,56406.0,925.0,2311.0,7278.0,3213.0,7078.0,8824.0,5947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
