ville_id;date;condition;temperature;duree_ensoleillement;pluie;vent
11;2025-11-16;6;12.97864;28777.404;1.2000002;9.585739
11;2025-11-17;2;4.4995785;8685.019;0.0;5.8603754
11;2025-11-18;2;2.9321284;11553.889;0.0;14.05845
11;2025-11-19;3;1.4877048;27168.408;0.3;11.841756
11;2025-11-20;1;0.40410328;27595.73;0.0;5.771239
11;2025-11-21;1;0.749918;27664.795;0.0;10.308831
11;2025-11-22;1;2.854724;0.0;0.0;14.934577
12;2025-11-15;4;11.845818;0.0;8.0;6.5693827
12;2025-11-16;6;12.953682;28777.404;1.2000002;9.585739
12;2025-11-17;2;4.476324;8685.019;0.0;5.8603754
12;2025-11-18;2;2.908833;11584.188;0.0;17.76081
12;2025-11-19;1;1.5026917;27865.59;0.0;15.042659
12;2025-11-20;1;0.76861954;27629.287;0.0;7.42159
12;2025-11-21;1;0.31228018;27824.693;0.0;12.964998
12;2025-11-22;1;2.377612;0.0;0.0;18.792551
13;2025-11-15;4;12.467905;0.0;24.9;8.669949
13;2025-11-16;2;12.919479;18947.543;0.6;13.339445
13;2025-11-17;2;8.494409;7283.7773;0.0;11.901798
13;2025-11-18;3;6.446718;12041.776;0.4;17.31746
13;2025-11-19;5;-1.0647955;4297.8706;0.9000001;13.089354
13;2025-11-20;5;-0.5131414;5596.6543;0.8000001;6.5693827
13;2025-11-21;3;0.08014393;27592.188;0.4;7.771331
13;2025-11-22;3;3.8156748;0.0;1.1000001;10.390226
14;2025-11-15;4;10.7129135;0.0;12.6;7.2805495
14;2025-11-16;6;11.450508;19818.338;1.5;8.759178
14;2025-11-17;2;7.733588;6792.8154;0.0;4.802999
14;2025-11-18;3;5.5887213;10624.436;0.6;17.208603
14;2025-11-19;3;-0.17550325;22478.713;0.6;16.09969
14;2025-11-20;2;0.5145936;25376.713;0.0;20.447239
14;2025-11-21;3;1.2579546;24802.08;0.70000005;10.948973
14;2025-11-22;3;4.809985;0.0;0.8000001;13.237039
15;2025-11-15;6;10.903729;0.0;15.599998;6.151683
15;2025-11-16;2;13.660873;29877.514;0.0;5.6920996
15;2025-11-17;2;10.821352;27062.354;0.0;3.9763298
15;2025-11-18;2;9.130645;27257.613;0.0;6.28713
15;2025-11-19;5;-0.057399273;16183.325;0.90000004;4.829907
15;2025-11-20;1;0.5642905;28407.646;0.0;4.8965297
15;2025-11-21;1;-0.053620815;29080.066;0.0;4.802999
15;2025-11-22;1;1.62152;26230.559;0.0;3.96
16;2025-11-15;6;15.882557;0.0;8.099999;7.4128532
16;2025-11-16;2;15.3423195;30036.225;0.0;8.311245
16;2025-11-17;2;11.288021;6293.165;0.0;5.506941
16;2025-11-18;2;7.8597517;12656.062;0.0;11.435313
16;2025-11-19;5;0.77593803;7333.506;1.8000002;9.885262
16;2025-11-20;5;-0.5250437;21872.033;1.5000001;9.693296
16;2025-11-21;1;-0.074398994;29375.06;0.0;10.739833
16;2025-11-22;1;4.0779514;16161.441;0.0;5.4833565
17;2025-11-15;7;11.825361;0.0;66.0;5.8048253
17;2025-11-16;2;13.454752;30013.66;0.3;6.8399997
17;2025-11-17;2;8.966147;22533.756;0.0;8.049845
17;2025-11-18;2;7.738389;20296.39;0.0;11.212135
17;2025-11-19;5;1.824256;18852.346;0.70000005;14.561099
17;2025-11-20;5;0.83390903;29275.29;0.2;18.03237
17;2025-11-21;3;2.3391805;29136.408;0.1;8.669949
17;2025-11-22;3;3.8722124;0.0;0.8000001;4.829907
18;2025-11-15;6;9.761266;0.0;36.2;29.024128
18;2025-11-16;2;9.873702;26019.928;1.0;7.928178
18;2025-11-17;1;10.015838;30862.389;0.0;11.212135
18;2025-11-18;1;8.802809;30816.361;0.0;9.826088
18;2025-11-19;6;-0.77754736;28774.775;0.6;13.084402
18;2025-11-20;1;-1.0248103;30711.635;0.0;13.049689
18;2025-11-21;1;1.1408343;30434.684;0.0;9.511088
18;2025-11-22;1;3.191831;30382.945;0.0;7.653705
19;2025-11-15;6;16.144016;0.0;32.300003;16.862455
19;2025-11-16;6;14.746349;25676.162;6.4;5.315336
19;2025-11-17;2;12.565607;30018.936;0.0;12.413476
19;2025-11-18;1;13.368113;30877.893;0.0;26.36616
19;2025-11-19;3;4.878067;30727.871;0.1;28.981676
19;2025-11-20;3;2.8336635;30836.982;0.2;29.144442
19;2025-11-21;1;4.815007;30782.695;0.0;15.937878
19;2025-11-22;1;9.087686;30604.08;0.0;13.493999
20;2025-11-15;7;18.164383;0.0;36.400005;32.25166
20;2025-11-16;1;18.221954;29628.55;1.5;9.085988
20;2025-11-17;1;18.354923;30998.744;0.0;7.491114
20;2025-11-18;1;14.555494;31065.184;0.0;60.912376
20;2025-11-19;1;4.4213066;30621.266;0.0;52.1851
20;2025-11-20;1;-1.1073022;30902.557;0.0;61.907436
20;2025-11-21;1;1.0462017;30539.91;0.0;44.952454
20;2025-11-22;1;8.486017;30470.99;0.0;35.06629
21;2025-11-15;7;17.79028;0.0;29.8;37.72278
21;2025-11-16;7;17.992811;27350.912;3.3000002;10.594036
21;2025-11-17;1;18.631195;31072.709;0.0;6.489992
21;2025-11-18;1;12.967041;30768.822;0.0;60.912376
21;2025-11-19;1;4.4370174;30621.266;0.0;52.1851
21;2025-11-20;1;-1.0922456;30902.557;0.0;61.907436
21;2025-11-21;1;1.0610209;30539.91;0.0;44.952454
21;2025-11-22;1;8.501038;30470.99;0.0;35.06629
22;2025-11-15;7;15.068665;0.0;23.099998;28.817993
22;2025-11-16;6;16.974722;27115.496;1.2;10.1376915
22;2025-11-17;2;17.650038;31104.357;0.0;6.696387
22;2025-11-18;1;10.142883;30878.59;0.0;35.785156
22;2025-11-19;1;3.9402342;30719.793;0.0;30.599998
22;2025-11-20;1;-0.5910225;30755.014;0.0;35.565372
22;2025-11-21;1;1.4186802;30591.014;0.0;21.566973
22;2025-11-22;1;7.481859;30270.516;0.0;12.313893
23;2025-11-15;7;15.495783;0.0;33.300003;28.639803
23;2025-11-16;2;17.485691;30667.602;0.0;9.360001
23;2025-11-17;1;15.665026;30755.688;0.0;13.202726
23;2025-11-18;1;10.080784;30537.652;0.0;38.948273
23;2025-11-19;3;3.5058389;28886.041;0.3;40.25888
23;2025-11-20;1;-0.61918306;30212.975;0.0;45.755417
23;2025-11-21;1;-0.63260984;29946.377;0.0;37.114933
23;2025-11-22;1;4.1340275;9914.361;0.0;23.795427
24;2025-11-15;7;15.175512;1531.9774;23.100002;24.1388
24;2025-11-16;6;16.687912;28851.559;0.9000001;8.435069
24;2025-11-17;1;14.649128;30816.773;0.0;12.413477
24;2025-11-18;2;13.539913;30581.498;0.0;30.599998
24;2025-11-19;3;3.4290066;26876.225;0.6;24.033876
24;2025-11-20;1;1.8788733;30250.66;0.0;37.08175
24;2025-11-21;1;2.8651419;29945.564;0.0;24.014996
24;2025-11-22;1;5.167904;1303.6206;0.0;11.165805
25;2025-11-15;7;16.356022;8503.216;20.800003;30.49818
25;2025-11-16;1;17.283512;30734.215;0.2;9.290511
25;2025-11-17;1;15.200727;30851.271;0.0;12.783802
25;2025-11-18;1;13.392433;30782.09;0.0;24.216522
25;2025-11-19;1;5.0639935;28216.87;0.0;22.461807
25;2025-11-20;1;4.011202;30303.918;0.0;28.460497
25;2025-11-21;1;4.727791;29997.24;0.0;18.692286
25;2025-11-22;1;7.522441;7193.295;0.0;9.021574
26;2025-11-15;7;17.142887;12753.014;16.400002;39.246605
26;2025-11-16;1;16.978073;30776.584;0.0;14.145756
26;2025-11-17;1;15.590092;30826.758;0.0;14.386494
26;2025-11-18;1;14.118816;30743.535;0.0;24.627787
26;2025-11-19;3;4.6343584;27482.266;1.2;36.204617
26;2025-11-20;1;4.7547483;30423.33;0.0;31.89202
26;2025-11-21;1;5.361353;30156.703;0.0;23.688984
26;2025-11-22;1;7.2026825;6442.047;0.0;19.881649
27;2025-11-15;6;17.063847;12476.304;20.100004;41.266743
27;2025-11-16;1;16.986607;30776.584;0.0;12.783802
27;2025-11-17;1;15.598459;30826.758;0.0;14.386494
27;2025-11-18;1;14.126801;30743.535;0.0;24.627787
27;2025-11-19;3;4.6419497;27482.266;1.2;36.204617
27;2025-11-20;1;4.7621346;30423.33;0.0;31.89202
27;2025-11-21;1;5.3687935;30156.703;0.0;23.688984
27;2025-11-22;1;7.2105455;6442.047;0.0;19.881649
28;2025-11-15;1;21.303171;26232.506;0.4;31.70658
28;2025-11-16;7;16.895493;24588.102;6.3;5.0911684
28;2025-11-17;6;15.08919;30559.52;1.1;10.661107
28;2025-11-18;1;14.703356;31390.572;0.0;39.18712
28;2025-11-19;1;6.9592314;30638.166;0.0;49.32131
28;2025-11-20;1;2.3456693;30983.139;0.0;46.63494
28;2025-11-21;1;10.086702;29293.75;0.0;38.49981
28;2025-11-22;1;14.164555;30701.807;0.0;27.36947
29;2025-11-15;3;17.967188;31398.82;0.1;24.122683
29;2025-11-16;1;15.895874;17370.734;0.0;5.8048253
29;2025-11-17;1;14.002705;28794.998;0.0;11.726277
29;2025-11-18;1;12.4657345;30968.055;0.0;33.64989
29;2025-11-19;3;2.511973;11259.564;2.1000001;34.38895
29;2025-11-20;5;0.77002525;25316.838;0.9000001;38.059677
29;2025-11-21;3;5.1716957;17024.738;1.8000001;33.326744
29;2025-11-22;1;10.068243;21799.338;0.0;31.293089
30;2025-11-15;1;15.671072;31317.986;0.0;11.298495
30;2025-11-16;6;12.964827;22659.07;2.9000003;6.489992
30;2025-11-17;6;11.733505;25552.262;3.9999998;5.8603754
30;2025-11-18;2;11.829014;31052.027;0.0;21.09305
30;2025-11-19;3;1.7601547;1309.6233;5.399999;22.89611
30;2025-11-20;1;1.0736561;26969.848;0.0;22.206486
30;2025-11-21;3;5.694313;787.03076;0.9000001;23.039999
30;2025-11-22;1;8.1993885;1514.207;0.0;13.207634
31;2025-11-15;1;18.26861;30384.354;0.3;8.209263
31;2025-11-16;2;15.611837;15859.459;0.9000001;5.4119864
31;2025-11-17;2;12.662609;23595.715;0.0;11.620809
31;2025-11-18;2;10.563273;14081.535;0.3;19.33639
31;2025-11-19;3;3.9717245;29415.367;1.2;25.02971
31;2025-11-20;3;4.2623796;25301.506;0.1;20.730501
31;2025-11-21;3;7.1357613;20817.371;2.0;22.33161
31;2025-11-22;3;11.256903;19253.354;0.3;19.469976
32;2025-11-15;4;17.833166;25499.385;0.6;9.9571085
32;2025-11-16;6;16.35891;25521.37;0.9;5.8048253
32;2025-11-17;2;12.0776825;515.5749;0.0;7.386582
32;2025-11-18;3;9.706637;14145.486;0.3;20.774214
32;2025-11-19;3;3.3848982;29747.389;1.5;33.1552
32;2025-11-20;3;3.1404963;25867.123;0.1;20.61766
32;2025-11-21;3;6.1125298;9889.006;2.0;22.406927
32;2025-11-22;3;11.973499;28182.463;0.3;20.633371
33;2025-11-15;3;16.528072;30968.271;0.70000005;26.081993
33;2025-11-16;6;16.170261;18643.463;5.2000003;12.682018
33;2025-11-17;6;14.545853;29754.23;9.799999;21.605999
33;2025-11-18;6;14.743198;29682.178;5.4999995;24.648829
33;2025-11-19;3;6.8860397;2822.705;4.4;25.1614
33;2025-11-20;3;8.621413;28436.941;0.6;19.917469
33;2025-11-21;3;11.811157;28597.43;2.999999;25.277023
33;2025-11-22;3;14.917757;25205.727;1.2000002;11.304229
34;2025-11-15;3;16.63472;30968.271;0.70000005;26.081993
34;2025-11-16;6;16.279825;18643.463;5.2000003;12.682018
34;2025-11-17;6;14.657112;29754.23;9.799999;21.605999
34;2025-11-18;6;14.849545;29682.178;5.4999995;24.648829
34;2025-11-19;3;6.9899063;2822.705;4.4;25.1614
34;2025-11-20;3;8.727657;28436.941;0.6;19.917469
34;2025-11-21;3;11.918438;28597.43;2.999999;25.277023
34;2025-11-22;3;15.0288925;25205.727;1.2000002;11.304229
35;2025-11-15;6;14.713921;12034.473;7.2999988;26.437336
35;2025-11-16;6;14.0870075;5817.004;2.3999999;26.552288
35;2025-11-17;1;9.331086;28239.428;0.0;22.89611
35;2025-11-18;3;7.491781;14138.934;0.9000001;23.710857
35;2025-11-19;1;4.2863665;29535.48;0.0;26.042212
35;2025-11-20;3;6.7268286;23151.717;0.3;22.19773
35;2025-11-21;1;10.297436;28882.613;0.0;18.775303
35;2025-11-22;1;11.66728;0.0;0.0;17.873554
