model,R2_train,R2_test,RMSE,MAE
baseline,,,772664.7528037325,709060.6472244897
linear_regression,0.9753304610344488,0.9087736944954888,200864.33427095728,146543.603711099
linear_regression_stratify,0.9741158719630514,0.9392390364631339,162779.36287075552,125838.88804553183
ridge,0.9363315109588681,0.8889917645330846,220021.24502330204,220021.24502330204
ridge_alpha,0.9726903072495336,0.937312491328953,165339.84395172357,165339.84395172357
lasso,0.9741158686933935,0.9392507913890294,162763.61631416102,125828.49726796118
lasso_alpha,0.9702199102586673,0.9444801297516998,155600.59001146385,120524.4380396757
